name,index_sht,prov,prov_no,dist_no,pale,region,no_jew_count,jew_pop,tot_pop,lat,lon,census,full_name,type,jewpop_flag,comments,total,total_flag,prov_name,dist_name
Shesholi,0401Ss1,Vilnius,4,1,Pale,Lithuania,1,,,55.1833,24.95,0,Shesholi,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Vilnius
Tsekhanovishki,0401Ts1,Vilnius,4,1,Pale,Lithuania,1,,,54.7333,25.0833,0,Tsekhanovishki,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Vilnius
Vil'na,0401Vl1,Vilnius,4,1,Pale,Lithuania,0,63996,154532,54.6833,25.3167,1,Vil'na,Gubernskii gorod,,,154532,,Vilnius,Vilnius
Vileika,0401Vl2,Vilnius,4,1,Pale,Lithuania,0,346,3350,,,1,Vileika,selo,,,3350,,Vilnius,Vilnius
Vorniany,0401Vr1,Vilnius,4,1,Pale,Lithuania,1,,,54.7333,26.0167,0,Vorniany,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Vilnius
Zakret,0401Zk1,Vilnius,4,1,Pale,Lithuania,0,170,1594,54.68333,25.23333,1,Zakret,Prigorod,,,1594,,Vilnius,Vilnius
Budslav,0402Bd1,Vilnius,4,2,Pale,Lithuania,1,,,54.7833,27.45,0,Budslav,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Vileika
Dolginov,0402Dl1,Vilnius,4,2,Pale,Lithuania,0,2559,3551,54.65,27.4833,1,Dolginov (Dolginovo),mestechko,,,3551,,Vilnius,Vileika
Dunilovichi,0402Dn1,Vilnius,4,2,Pale,Lithuania,0,1553,1810,55.0667,27.2333,1,Dunilovichi,mestechko,,,1810,,Vilnius,Vileika
Gorodok,0402Gr1,Vilnius,4,2,Pale,Lithuania,0,1230,1603,54.15,26.9167,1,Gorodok,mestechko,,,1603,,Vilnius,Vileika
Iliia,0402Il1,Vilnius,4,2,Pale,Lithuania,0,829,1431,54.4167,27.3,1,Iliia (Il'ia),mestechko,,,1431,,Vilnius,Vileika
Kraisk,0402Kr1,Vilnius,4,2,Pale,Lithuania,0,549,629,54.5167,27.5,1,Kraisk,mestechko,,,629,,Vilnius,Vileika
