id,name,name_he,viv,viv_code,powiat,sum_group,value,addition,addition_type,group,geocode,modern_name,lat,lon,galil,galil_id,wikidata,wikipedia,osm_id,text,is_child,parent_id
60,Rychwał,ריחוואל,Kalisz,KLS,Koniński.,KLS_2,102,,,,KLS_RYCHWAL,"Rychwał, Konin County, Greater Poland Voivodeship, Poland",52.0697452,18.1662713,Great Poland,3,Q259489,pl:Rychwał,2705480,Miasto Rychwał,0,
62,Pyzdry,פייזער,Kalisz,KLS,Pyzdrski.,KLS_3,452,,,,KLS_PYZDRY,"Pyzdry, Września County, Greater Poland Voivodeship, Poland",52.1705764,17.6900802,Great Poland,3,Q990779,pl:Pyzdry,2676510,Miasto Pyzdry z parafiami,0,
63,Jarocin,יארוצ'ין,Kalisz,KLS,Pyzdrski.,KLS_3,282,,,,KLS_JAROCIN,"Jarocin, Greater Poland Voivodeship, Poland",51.9724492,17.5019414,Great Poland,3,Q52840,pl:Jarocin,2670884,Miasto Jarocin,0,
64,Kobylin,קובילין,Kalisz,KLS,Pyzdrski.,KLS_3,139,,,,KLS_KOBYLIN,"Kobylin, Krotoszyn County, Greater Poland Voivodeship, Poland",51.7157581,17.2266796,Great Poland,3,Q990816,pl:Kobylin,2705294,Miasto Kobylin,0,
65,Nowe Miasto,נובה מיאסטו,Kalisz,KLS,Pyzdrski.,KLS_3,146,,,,KLS_NOWEMIASTO,"Nowe Miasto nad Wartą, Środa Wielkopolska County, Greater Poland Voivodeship, Poland",52.0899951,17.4110052,Great Poland,3,Q2003527,pl:Nowe Miasto nad Wartą,3009733848,Miasto Nowe Miasto,0,
66,Jaroczew,,Kalisz,KLS,Pyzdrski.,KLS_3,85,,,,KLS_JAROCZEW,"Jaraczewo, Jarocin County, Greater Poland Voivodeship, Poland",51.9688195,17.2971841,Great Poland,3,,,6061771,Miasto Jaroczew,0,
67,Pogorzel,,Kalisz,KLS,Pyzdrski.,KLS_3,32,,,,KLS_POGORZELA,"Pogorzela, Gostyń County, Greater Poland Voivodeship, Poland",51.8219084,17.2292971,Great Poland,3,,,2705478,Miasto Pogorzel,0,
68,Borek,בורק,Kalisz,KLS,Pyzdrski.,KLS_3,200,,,,KLS_BOREK,"Borek Wielkopolski, Gostyń County, Greater Poland Voivodeship, Poland",51.91673,17.24096,Great Poland,3,,,,Miasto Borek,0,
69,Kurnik,,Kalisz,KLS,Pyzdrski.,KLS_3,381,,,,KLS_KURNIK,"Kórnik, Poznań County, Greater Poland Voivodeship, Poland",52.2466273,17.0899202,Great Poland,3,,,2663487,Miasto Kurnik,0,
70,Zaniemiśle,זניימישל,Kalisz,KLS,Pyzdrski.,KLS_3,37,,,,KLS_ZANIEMYSL,"Zaniemyśl, Środa Wielkopolska County, Greater Poland Voivodeship, Poland",52.1567272,17.1602866,Great Poland,3,Q146933,pl:Zaniemyśl,3990113,Miasto Zaniemiśle,0,
